participant,participant_id,piece,video,condition,audio_file,trim_start_s,trim_stop_s,audio_duration_s,key,mode,key_strength,is_minor,chroma_entropy_mean,chroma_entropy_sd,key_stability,chroma_flux_mean,tempo_bpm,rms_mean,rms_sd,spectral_centroid_mean,onset_rate_hz,harmonic_ratio
P24,24,1,1,sight_reading,P24_video1_IMG1258.mp3,1.65,93.74,92.09002267573696,G,minor,0.8536758651898146,1,2.367241382598877,0.5865697264671326,0.2822814364187003,0.0396474674344062,67.99958881578948,0.0571674369275569,0.0439310260117054,618.6192795419704,1.4659568547980015,0.8628897521532812
P24,24,2,2,sight_reading,P24_video2_IMG1259.mp3,3.39,71.1,67.70997732426304,G,minor,0.8198817359286932,1,2.6988914012908936,0.484254240989685,0.3737274762416084,0.0612257346510887,107.666015625,0.0692358762025833,0.0471451431512832,747.1202684952324,2.8503923295635314,0.8285482553805276
P24,24,3,3,self_selected,P24_video3_IMG1260.mp3,3.44,110.13,106.68997732426304,C,minor,0.8028744588766084,1,2.7411856651306152,0.4138595461845398,0.351440584257291,0.0492964014410972,184.5703125,0.0666195228695869,0.0498028174042701,669.8329402303559,2.371356769821561,0.8113166844076808
P25,25,1,1,sight_reading,P25_video1_IMG1261.mp3,1.65,61.37,59.72,G,minor,0.850363472013381,1,2.447897434234619,0.5673061609268188,0.2951833082755553,0.0479334779083728,95.703125,0.0596322491765022,0.0373515300452709,618.627772175698,2.1768251841929,0.8523354051095356
P25,25,2,2,sight_reading,P25_video2_IMG1262.mp3,0.0,57.05,57.04997732426304,G,minor,0.821928748514624,1,2.782047271728516,0.467165470123291,0.3395774090791486,0.062103196978569,129.19921875,0.071886733174324,0.0462251678109169,747.1632807223473,3.032428900307802,0.8218049108936464
P25,25,3,3,self_selected,P25_video3_IMG1263.mp3,5.5,87.77,82.26997732426304,E,major,0.9136548348735878,0,2.8333699703216557,0.3408811092376709,0.4437595270701017,0.0324962176382541,151.99908088235293,0.0558363609015941,0.0469384752213954,588.8146269791998,1.3249061631606134,0.8504671925778514
P26,26,1,1,sight_reading,P26_video1_IMG1264.mp3,1.23,83.62,82.39002267573696,G,minor,0.8751586417366833,1,2.301297903060913,0.6008428931236267,0.2925006690143573,0.0417835712432861,69.83741554054055,0.0614214912056922,0.0407258383929729,642.1329895529122,1.6142731326030717,0.8674825955525183
P26,26,2,2,sight_reading,P26_video2_IMG1265.mp3,3.53,75.98,72.45002267573696,G,minor,0.8441225432202738,1,2.7037112712860107,0.5031096935272217,0.3278339123130201,0.0599501989781856,99.38401442307692,0.0672050043940544,0.0465228743851184,748.6512267590051,2.6915105447621097,0.8257141845609925
P26,26,3,3,self_selected,P26_video3_IMG1266.mp3,5.25,180.47,175.22,G#,minor,0.3939590652846959,1,3.1013123989105225,0.2776579260826111,0.2600740535144401,0.0420234687626361,135.99917763157896,0.0716254934668541,0.0494248270988464,662.6351603781926,2.208651980367538,0.7697270009154064
P27,27,1,1,sight_reading,P27_video1_IMG1267.mp3,2.0,97.15,95.14997732426303,G,minor,0.8353578802796714,1,2.508256196975708,0.572180986404419,0.2968284390947727,0.0384309478104114,64.599609375,0.0500386245548725,0.0389985293149948,724.5721943043892,1.439832187590709,0.8598891555369219
