participant,participant_id,piece,condition,audio_file,audio_duration_s,key,mode,key_strength,is_minor,chroma_entropy_mean,chroma_entropy_sd,key_stability,chroma_flux_mean,tempo_bpm,rms_mean,rms_sd,spectral_centroid_mean,onset_rate_hz,harmonic_ratio
P25,25,1,sight_reading,P25_video1_IMG1261.mp3,63.92308390022676,G,minor,0.8594264281380553,1,2.5071537494659424,0.6020710468292236,0.28944079749666984,0.046074029058218,95.703125,0.05583334341645241,0.03884272649884224,689.0826763686825,2.158844529706904,0.8521651071727918
P25,25,2,sight_reading,P25_video2_IMG1262.mp3,59.02367346938775,G,minor,0.811113403059547,1,2.805328607559204,0.47624671459198,0.345427968495363,0.06061127409338951,129.19921875,0.06951717287302017,0.04719839617609978,760.8533908238487,2.9479696835583096,0.8217963797235343
P25,25,3,self_selected,P25_video3_IMG1263.mp3,87.76997732426304,E,major,0.9035032021200913,0,2.866023302078247,0.37197357416152954,0.4304441627961523,0.03163928538560867,151.99908088235293,0.052415039390325546,0.04734542593359947,674.2387601626834,1.3786035235370955,0.8499819249478928
P26,26,1,sight_reading,P26_video1_IMG1264.mp3,86.67863945578232,G,minor,0.8847645795625653,1,2.349644899368286,0.6331114172935486,0.2889707833229277,0.04057583957910538,69.83741554054055,0.058479201048612595,0.041761402040719986,694.0505792190132,1.6266983525038927,0.8676595390937237
P26,26,2,sight_reading,P26_video2_IMG1265.mp3,78.4819954648526,G,minor,0.8514498224290641,1,2.76755952835083,0.5318905115127563,0.31651180508866994,0.056651242077350616,99.38401442307692,0.06211784482002258,0.048067476600408554,849.7661609021592,2.561096960002959,0.8258986404887634
P26,26,3,self_selected,P26_video3_IMG1266.mp3,181.64825396825398,G#,minor,0.39668657662033,1,3.116788387298584,0.28351354598999023,0.25630477770323046,0.04129017889499664,135.99917763157896,0.06913667172193527,0.05025998875498772,706.7251204088165,1.4258325876628823,0.7691459119727592
P27,27,1,sight_reading,P27_video1_IMG1267.mp3,101.14467120181406,G,minor,0.8565918515035608,1,2.5594704151153564,0.5841342210769653,0.30377762518410806,0.03721308708190918,64.599609375,0.04718027636408806,0.0395059734582901,769.3003306257613,1.413816450247507,0.8594641117134887
P27,27,2,sight_reading,P27_video2_IMG1268.mp3,67.10421768707484,G,minor,0.815348909122292,1,2.799985647201538,0.4393655061721802,0.3566776789008604,0.05807601660490036,117.45383522727273,0.06773227453231812,0.04628971219062805,846.6624736681008,2.950634204891974,0.837701736661155
P27,27,3,self_selected,P27_video3_IMG1269.mp3,459.5446712018141,E,major,0.6343817791914386,0,3.11230206489563,0.21479609608650208,0.21460046896783508,0.0375894233584404,112.34714673913044,0.0728035569190979,0.046438947319984436,621.8010031801515,1.4927819709147179,0.8380799086003478
P28,28,1,sight_reading,P28_video1_IMG1270.mp3,110.80417233560091,G,minor,0.8393930973425194,1,2.63775372505188,0.539473295211792,0.3013786238016128,0.03805004432797432,78.30255681818181,0.05252918228507042,0.04360010474920273,665.5363839623317,1.425939083967466,0.8157586480005881
